year,rank,uri,wk_title,wk_artist,sp_title,sp_artist
2022,25,spotify:track:1qEmFfgcLObUfQm0j1W2CK,Late Night Talking,Harry Styles,Late Night Talking,['Harry Styles']
2022,26,spotify:track:0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song),Post Malone  Doja Cat,I Like You (A Happier Song) (with Doja Cat),"['Post Malone', 'Doja Cat']"
2022,27,spotify:track:5W4kiM2cUYBJXKRudNyxjW,You Proof,Morgan Wallen,You Proof,['Morgan Wallen']
2022,28,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,Steve Lacy,Bad Habit,['Steve Lacy']
2022,29,spotify:track:5YqEzk3C5c3UZ1D5fJUlXA,Sunroof,Nicky Youre and Dazy,Sunroof,"['Nicky Youre', 'dazy']"
2022,30,spotify:track:1nltpRhEiXikwDlVn4UADk,One Right Now,Post Malone and the Weeknd,One Right Now (with The Weeknd),"['Post Malone', 'The Weeknd']"
2022,31,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Good 4 U,Olivia Rodrigo,good 4 u,['Olivia Rodrigo']
2022,32,spotify:track:3o9kpgkIcffx0iSwxhuNI2,Numb Little Bug,Em Beihold,Numb Little Bug,['Em Beihold']
2022,33,spotify:track:3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks,Drake  21 Savage,Jimmy Cooks (feat. 21 Savage),"['Drake', '21 Savage']"
2022,34,spotify:track:4k3lPl8YTKuY8c1HelVnm3,'Til You Can't,Cody Johnson,'Til You Can't,['Cody Johnson']
2022,35,spotify:track:58UKC45GPNTflCN6nwCUeF,Fancy Like,Walker Hayes,Fancy Like,['Walker Hayes']
2022,36,spotify:track:28n8z9IQKyjMPxmvYMBqZa,The Kind of Love We Make,Luke Combs,The Kind of Love We Make,['Luke Combs']
2022,37,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,OneRepublic,I Ain't Worried,['OneRepublic']
2022,38,spotify:track:5pyoxDZ1PX0KxBxiRVxA4U,Break My Soul,Beyoncé,BREAK MY SOUL,['Beyoncé']
2022,39,spotify:track:3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,Something in the Orange,['Zach Bryan']
2022,40,spotify:track:1oFAF1hdPOickyHgbuRjyX,Save Your Tears,The Weeknd and Ariana Grande,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"['The Weeknd', 'Ariana Grande']"
2022,41,spotify:track:3xVZYkcuWalGudeKl861wb,Smokin out the Window,Silk Sonic (Bruno Mars and Anderson .Paak),Smokin Out The Window,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']"
2022,42,spotify:track:39LLxExYz6ewLAcYrzQQyP,Levitating,Dua Lipa,Levitating,['Dua Lipa']
2022,43,spotify:track:31lopd32BkJBTSgYE16c5e,In a Minute,Lil Baby,In A Minute,['Lil Baby']
2022,44,spotify:track:6Xom58OOXk2SoU711L2IXO,Moscow Mule,Bad Bunny,Moscow Mule,['Bad Bunny']
2022,45,spotify:track:00Blm7zeNqgYLPtW6zg8cj,You Right,Doja Cat and the Weeknd,One Right Now (with The Weeknd),"['Post Malone', 'The Weeknd']"
2022,46,spotify:track:200x8ONbPfFzByUr3fVz46,She Had Me at Heads Carolina,Cole Swindell,She Had Me At Heads Carolina,['Cole Swindell']
2022,47,spotify:track:3FWwi61OP7vXEikwqhZCPZ,Vegas,Doja Cat,Vegas,['Doja Cat']
2022,48,spotify:track:3XOalgusokruzA5ZBA2Qcb,Pushin P,Gunna and Future  Young Thug,pushin P (feat. Young Thug),"['Gunna', 'Future', 'Young Thug']"
2022,49,spotify:track:69AIpwGNLxr4qS1X5ynx60,Buy Dirt,Jordan Davis and Luke Bryan,Buy Dirt,"['Jordan Davis', 'Luke Bryan']"
2022,50,spotify:track:2aJnyNu4PQxQ2lyj5boiMG,I Hate U,SZA,I Hate U,['SZA']
2022,51,spotify:track:59CfNbkERJ3NoTXDvoURjj,Boyfriend,Dove Cameron,Boyfriend,['Dove Cameron']
2022,52,spotify:track:6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,Joji,Glimpse of Us,['Joji']
2022,53,spotify:track:760jhRscwGbIIe1m1IIQpU,Surface Pressure,Jessica Darrow,Surface Pressure,['Jessica Darrow']
2022,54,spotify:track:0rCFRyEy4WXjRXNpO80Dzs,Fall in Love,Bailey Zimmerman,Fall In Love,['Bailey Zimmerman']
2022,55,spotify:track:2Xr1dTzJee307rmrkt8c0g,Love Nwantiti (Ah Ah Ah),CKay,love nwantiti (ah ah ah),['CKay']
